City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
313,Yeppoon,AU,87.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
317,Daru,PG,89.1,light rain,-9.0763,143.2092,Daru Lodge
318,Hobyo,SO,77.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
319,Beba,CU,71.87,overcast clouds,22.4437,-79.7253,Hostal Cubaustria
322,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
323,Kannur,IN,80.28,clear sky,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
327,Puerto Ayacucho,VE,77.18,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
336,Sassandra,CI,77.67,few clouds,4.95,-6.0833,la terrasse
337,Palasa,IN,74.44,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
338,Wattegama,LK,81.43,broken clouds,6.7989,81.4808,
345,Kudahuvadhoo,MV,81.63,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
346,Acari,PE,72.18,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
351,Cockburn Town,TC,78.15,clear sky,21.4612,-71.1419,Osprey Beach Hotel
352,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
354,Hue,VN,75.31,broken clouds,16.4667,107.6,Saigon Morin Hotel
365,Flinders,AU,77.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
366,Kieta,PG,83.71,light rain,-6.2167,155.6333,Uruna Bay Retreat
371,Sao Joao Da Barra,BR,71.91,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
372,Morada Nova,BR,75.52,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
378,Wawa,NG,74.93,clear sky,9.9022,4.4192,
379,Sungaipenuh,ID,73.53,moderate rain,-2.0833,101.3833,penginapan citra alam
382,Ixtapa,MX,71.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
383,Rantepao,ID,84.11,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
384,Nago,JP,72.45,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
385,Tabuk,PH,77.99,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
386,Wau,SS,74.17,broken clouds,7.7029,27.9953,Universal Gab Hotel
392,Xapuri,BR,73.65,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
400,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
401,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
404,Reyes,BO,73.54,overcast clouds,-14.3167,-67.3833,
405,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
407,Vondrozo,MG,70.0,light rain,-22.8167,47.2833,
408,Kavaratti,IN,79.39,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
409,Bairiki,KI,78.8,shower rain,1.3292,172.9752,Tarawa Boutique Hotel
410,Den Chai,TH,80.94,broken clouds,17.9837,100.0522,Ruean Saen Hotel
413,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
418,Atambua,ID,82.67,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
427,Mount Gambier,AU,76.91,clear sky,-37.8333,140.7667,The Commodore
429,Merauke,ID,85.69,overcast clouds,-8.4667,140.3333,
432,Davila,PH,82.38,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
435,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
436,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
440,Pedernales,DO,76.77,scattered clouds,18.0384,-71.744,Hotel Costa Marina
441,Acarau,BR,78.15,scattered clouds,-2.8856,-40.12,castelo pizzaria
